------------------------------------------------------------------------------

RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES

------------------------------------------------------------------------------



------------------------------------------------------------------------------

 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
  0   0   0   0   0   1   4   9  25  57  0.000000 * 1.0000    Aperiodic-Template

  2  16  24  18  13   7   0  12   4   0  0.000000 * 1.0000    Aperiodic-Template

  2  15  21  18  12  13   7   5   3   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   9   6  12  11  16  42  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   0   0   1   5  22  68  0.000000 * 1.0000    Aperiodic-Template

 75  19   2   0   0   0   0   0   0   0  0.000000 * 0.8125 *  Aperiodic-Template

  0   0   0   0   5  11   7  16  30  27  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   2   6  14  36  32   6  0.000000 * 1.0000    Aperiodic-Template

 10  24  23   8   8   9   7   4   3   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   8  14  13  20  11  19  11   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   1   1  10  21  22  35   6  0.000000 * 1.0000    Aperiodic-Template

 47  31   6   7   3   2   0   0   0   0  0.000000 * 0.9896    Aperiodic-Template

  0   1   2   5   6  16   7  13  21  25  0.000000 * 1.0000    Aperiodic-Template

  9  18  16  13  17  11   6   5   1   0  0.000002 * 1.0000    Aperiodic-Template

  0   0   0  11   7  16  19  18  20   5  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   1   2   5  19  27  42  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   3  15  11  18  14  35  0.000000 * 1.0000    Aperiodic-Template

  8  10  12  18  16  11   7   9   5   0  0.001232   1.0000    Aperiodic-Template

  1   7  14  14  10  16  10   8  10   6  0.017912   1.0000    Aperiodic-Template

  4   7  22  14  16  13   8  11   1   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   5   8  18  15  21  29  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   2   4   8  25  35  22  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   7   7  13  19  25  25  0.000000 * 1.0000    Aperiodic-Template

  4   6   8  14  12   9   4   9  22   8  0.000569   1.0000    Aperiodic-Template

  0   0   0  10   7  11  17  17  28   6  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   1   5  11  16  28  35  0.000000 * 1.0000    Aperiodic-Template

 87   9   0   0   0   0   0   0   0   0  0.000000 * 0.6875 *  Aperiodic-Template

  0   1   2   2   4   9   9  21  21  27  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   1   3   4   2   9  77  0.000000 * 1.0000    Aperiodic-Template

 10  30  19   8  14   3   5   3   2   2  0.000000 * 1.0000    Aperiodic-Template

  0   0   4   5  13  16  13  10  11  24  0.000000 * 1.0000    Aperiodic-Template

  0  14  13  14  17  14  13   6   4   1  0.000012 * 1.0000    Aperiodic-Template

  0   0   0   0   0   0   0   1  14  81  0.000000 * 1.0000    Aperiodic-Template

  0   0   2   9   9  18   8  10  17  23  0.000000 * 1.0000    Aperiodic-Template

